,Word,Mnemonic_1,Mnemonic_2,Mnemonic_3,Mnemonic_4,Mnemonic_5,Mnemonic_6,Mnemonic_7,Mnemonic_8,Mnemonic_9,Mnemonic_10,Mnemonic_11,Mnemonic_12,Mnemonic_13,Mnemonic_14,Mnemonic_15,Mnemonic_16,Mnemonic_17,Mnemonic_18,Mnemonic_19,Mnemonic_20,Mnemonic_21,Mnemonic_22,Mnemonic_23,Mnemonic_24,Mnemonic_25,Mnemonic_26
26,quixotic,quixotic== quick + exotic; if you desire something exotic to happen quickly in your life it is just a daydream.,"THIS WORD IS DERIVED FROM THE NOVEL....Don Quixote de la Mancha...where the HERO IN THE NOVEL..Cervantes GETS inspired by lofty and chivalrous but impractical ideals....................
SO QUIXOTE....QUIXOTIC....MEANS HAVING IMPRACTICAL IDEAS.......","divide it as quix(quick)+otic..
i IDEALY wanted to be a quick runner but it was IMPRACTICALas i am a fat person..",quixotic=quick+sotic(sortic)...if u sort out things quickly without thinking u ll be FOOLISH AND IMPRACTICAL,if we divide quixotic; we will notice xotic which is similar to exotic which mean unusual,Quick so thick....He is Quick and so thick(fat here)...which is unrealistic.,"Don Quixote sings the song ""The Impossible Dream"" in the Broadway play based on the book Don Quixote.  So; to be quixotic is to dream impossible dreams.",QUIXOTIC is NOT REALISTIC...just IMAGINATIVE and IMPRACTICAL.,Opposite of PRAGMATIC.....,He has given quick tick on the question paper i.e. without understanding i.e. not practical.,,,,,,,,,,,,,,,,
27,spendthrift,Spendthrift is actually a misnomer...split it as SPEND+THRIFT. Thrifty means; careful use of resources; so a spendthrift should actually mean someone who carefully spends money; but it means SOMEONE WHO WASTES MONEY.,Spend+thirst=Some1 who is thirsty for spending money,SPell the END of THRIFTiness. A Spendthrift may have been thrifty once; but now he isn't.,"ORIGIN : SPENDTHRIFT = SPEND + THRIFT(SAVINGS)

SO it means who spend the savings.",Thrift is from the word thrive (ie. prosper). A spendthrift is someone who thrives on spending money,,,,,,,,,,,,,,,,,,,,,
28,taciturn,"Taxi_turn

Taxi Driver will be reserved or uncommunicative while ""Driving"".",meaning of tacit = silent. so meaning of tacit + urn = taciturn = silent person ; untalkative,"akin to tacit which means ""without words"".",Taciturn and Reticent are somewhat similar in sound and they also have the same meaning; which is; someone who uses words sparingly; is reserved.,taciturn is uncommunicative;1 who talks little its anotnym being garrulousness,,,Ben loves soccer and tennis. He also enthusiastically plays ping-pong and frisbee golf.,,,,,,,,,,,,,,,,,,
29,wary,Wary and worry sound the same... you become wary (cautious) if you have too many worries in life.,WAtch out caRyfullY = WARY,WARY = WAR+ARmY - in case of WAR ARmY has to be on alert.,wary = chary,be WARY = BEWARE = cautious (think of WARY as BEWARE; meaning CAUTIOUS),Don't worry too much; just be a little wary when you go into the street.,,,,,,,,,,,,,,,,,,,,
30,adulterate,dull+the+rate = impure; means to decrease the rate,Adults are more impure than children; so adulterate means to make impure,when a child becomes adult he loses his purity and innocence...so any thing adulterated is contaminated or has lost its purity.,Think adulterate which reduces purity in marriage,"ADULTERATE<===> à¤®à¤¿à¤²à¤¾à¤µà¤Ÿ à¤•à¤° (pr. \\milavaT kar \\ )[Verb]

Example:Unscrupelous merchants do not hesitate to adulterate even baby food.

ADULTERATE<===> à¤®à¤¿à¤²à¤¾à¤µà¤Ÿ à¤•à¤°à¤¨à¤¾ (pr. \\milavaT karana \\ )[Noun]",Adulterate: Add alternatives instead of original,,,,,,,,,,,,,,,,,,,,
31,advocate,"advocate...advocate usually ""urges""or ""pleads"" judge to give in his favour",advocate: add+ur VOICE ...support,"Think of avocado.
Avocado is known to be the most healthy food on earth so we would recommend or plead for it",,,,,,,,,,,,,,,,,,,,,,,
32,aggrandize,grand- this resembles to somthing huge;great;wealthy.,aggrandize ~ aggregate + grand; aggregating things...is similar to adding details,aggrandize;AGG always related to INCREASE in size,"aggrandize = [agg]ressive + grand + ize

means:

increase sth excessively; IZE means it's a verb",aggendize sounds like a grand eye; like person watching painting with a grand eye finding some lacking therefore adding details,grand in the middle sounds like grand father.so;we will get fame from our grandparents popularity sometimes.,Ag-grand~grind which means convert in powdery form .. which means to intensify the concentration .. and so is the meaning :increase or intensify,aggrand = en-grand (enlarge),aggrandize ~ ag+grand+eyes = make someone seem grander/greater in others eyes by raising power etc.,"AGGRANDIZEMENT<===> à¤¶à¤•à¥à¤¤à¤¿ à¤…à¤¥à¤µà¤¾ à¤ªà¤¦à¤µà¥€ à¤¬à¤¢à¤¾à¤¨à¤¾ (pr. \\shakti athava padavi baDhana \\ )[Noun]

Example:Her sole aim is personal aggrandizement.",aggrandize = a GRAND SIZE,To make sthing GRAND; AGGRANDIZE it,,,,,,,,,,,,,,
33,alacrity,take the suffix crity we can link it with creativity.creative people are so eager to learn n create things differently.,alacrity sounds like AT+LAST+IN+CITY..a person who is first time in a big city is excited n eager to c da city...,"remember it as a la carte.. which means selecting food from the menu.. usually when ppl go to restaurants they are ""eager"" to get food!!",alacrity = Alag aakrity (a picture). when do you make alag aakrity?? = when you have GREAT WILLINGNESS & ENTHUSIASM. alag aakrity banane ke liye you should have Alacrity,One who does each activity ( crity = kriti in hindi) according to 'Alarm' has 'Alacrity'.,"Assume ALlah in CITY.
So people went to see him with ALACRITY(Eagerness or Liveliness)",alacrity ( all city) usually we have found in these days that everybody have great enthusiasm and willing to go to the city,"""Alas; she cried out.   I am ready to help!"" Think of the ""a"" in ""alas"" and the ""c"" in ""cried"" as phonically related to ""alacrity.""",Someone with alacrity will <B>lack resistance</B>; or in other words 'have willingness.',ALAg aaCRITY(aakriti in hindi).. a person with such livliness and promptness is alag aakriti,a lack (of) crity (criticism) = eager,"ALACRITY<===> à¤¤à¤¤à¥à¤ªà¤°à¤¤à¤¾ (pr. \\tatparata \\ )[Noun]

Example:She accepted his proposal with alacrity.

ALACRITY<===> à¤œà¥‹à¤¶ (pr. \\josh \\ )[Noun]","Capture the spirit of the word alacrity by adding a ""G"" - GALAcrity! A gala is upbeat; and one would accept an invitation to dance with cheerful readiness;promptness;and willingness! Gala-alacrity!",CRITY - A critter moves with alacrity,alacrity-->my opponent said alas!and cried and i won the competition,"Ala - > Alayara Case . 
Only those case are very eager  .
(Crity)",,,,,,,,,,
34,ambivalent,"'ambi' means both in greek. eg : ambidextrouos means ability to write with both hands equally.
Similarly; Ambivalent means having ambi(both) feelings bcoz of which u are uncertain; undecided or neutral",ambi means both in greek...relate valent with various...so it is various/mixed feelings for someone,as abiguity is to uncertainty ambivalent is to uncertainty,when confused; you have a VALE of AMBIguity on your mind.,,,,,,,,,,,,,,,,,,,,,,
35,ameliorate,Ameli (Imli) improves the taste of food.,In movie Amelie; Amelie tries to improve other's life.,Take the suffix 'rate'. With the increase in product rate it's quality will also improve.,"""ae""+ ""melio""+ ""re""(meet me)
lets meet to improve relations",Aam(Mango)+ lio(Take) + rate(@ less rate).. Cheap mangoes.. makes it Better ;),Sounds a bit like deteriorate which means 'to lessen or degrade'. Here 'a' negates the meaning. Hence it means 'to better',"deteriorate = degrade
ameliorate = improve",AMUL RATE- with shortage of milk; AMUL is increasing milk RATE,AME(she)+LI(literacy)+RATE...(shes improving literacy rate by teaching..,Amelio-rate is to make it more-great,Amelia R. ate Kate's improving cake to help her make it more great!,"After polishing off the meal we ate; Amelia rated
Its overall quality; saying it might be ameliorated
If dusted with imported Parmesan; freshly grated
And by having the entrÃ©e more attractively plated.

JBG 12/27/10",SOUND LIK AMLA.WHICH IS GOOD/BEETER FOR HEALTH,"AMELIORATE<===> à¤¸à¥à¤§à¤¾à¤°à¤¨à¤¾ (pr. \\sudharana \\ )[Verb]

Example:The army has been called to ameliorate the city situation.",,,,,,,,,,,,
36,amenable,"Amen is a word used in islam and christinity. meaning of which is i agree.
So amenable means something able to be agreed.",A+MAN+ABLE....a man is able to succeed if he is open and responsive to suggestion....,a MEN ABLE - ABLE MEN are obedient;compliant;readily managed;etc. (are amenable),Amenable -> Ammendable -> Ammendment. Ammendment is a CHANGE to law. Amenable means willing to change.,amenable sounds like AMAN (peace)+ ABLE. So obedient people are amenable .,consider amenable as a+mend+able. which can be easily influenced or easily controlled.,"""mend""able person","AMENABLE<===> à¤œà¤µà¤¾à¤¬à¤¦à¥‡à¤¹à¥€/à¤†à¤œà¥à¤žà¤¾à¤•à¤¾à¤°à¥€/à¤µà¤¶à¥à¤¯ (pr. \\javabadehi/Ajnyakari/vashy \\ )[Adjective]

Example:An employee is amenable to the officer.",,,,,,,,,,,,,,,,,,
37,anachronistic,read it as An Achronistic. A(not) CHRONISTIC(in order).,,,,,,,,,,,,,,,,,,,,,,,,,
38,audacious,audacious..auda(AUDIBLE)....IF YOU WANT to be audible to millions of people you have to be very daring and bold ;to go to the stage and deliver your message.,"it sounds like ""how dare she is(audacious)""i.e au(how)da(dare)c(she)ious(is)..so it is daring",when you go for some audition you need to be bold and daring.,When someone 'has the audacity' to do something; they have the nerve aka courage,There is audition going on for India Idol 4 in Delhi; versatile judges will select you so you shud have enough courage to face them at audition (audacious),he heard (aud - from audio) that it would be viscous so he came quickly,MEN are always ACUrrate. Right?,,,,,,,,,,,,,,,,,,,
39,avaricious,comes from avarice=a+var(war)::in a war evry1 becomes greedy.,avaricious:- avaricious sounds like avar(this time) rici(rice) ous(us); This time we will get rice from field & become rich.,,,,,,,,,,,,,,,,,,,,,,,,
40,banal,abey nal to roz hi kholte hain...,"SPLIT INTO ba-nal
ba-BAR - COMMONPLACE FOR MEN TO MEET 
&
NAL(HINDI - TAP) - COMMON PLACE FOR WOMEN TO MEET.",'ban + al' --> 'ban all' those directors whose movies are 'banal' (the same old story lines are repeated ; (another meaning) dull and  unoriginal(dubbed)),Divide it like -- ban + al(ban all people); you ban all those people from your group; if they are repeating the same activity again and again.,When u r in severe depression u will lock urself in ur room BANNING ALL people for a while as u need some privacy,Banal = I would like to BAN-ALL banal words because they are dull and overused.,banal sounds like GUNAL(a tamil movie actor).So his death has been shown on TV for many days(repeated too often).,banal => bakwaas(hindi) not always; means being a waste as it's overrepeated.,banal: beh nal. behta hua nal is a vey munadane affair,ca be taken as a short from for Boring And Not originAL....,,,,,,,,,,,,,,,,
41,benign,benign- bene(good) + sign,opposite of malign,Cloud number nine (BY Bryan adams) . so nign or nine is good. Benign is to be pleasant; good etc.,Benign sounds like B9 ~ BNice .. Therefore kind,read it as BEGIN: u begin something when its favorable/good..or when a tumor is in the beginning stage; its not dangerous,rhymes after Quinine--the panacea for Malaria-->+ve in all sense,,to BE on cloud NINE; we have to be gentle and kind with everyone,benign sounds like begin; this kind of beginning is favorable and beneficial for our all future projects.,benign * malign,its always better if beginning should be favorable to us,lets break it this way be+nice which is kind,,,,,,,,,,,,,,
42,brazen,Split the word brazen as Bra + Zen. Suppose you went out with your friends and saw a girl in a Zen car wearing only a bra.  How was the attempt of the girl? Really bold and  brazen!,"Brazen == Bra+zen

hey isn't his girlfriend ""zen"" looking
hot only in a bra.",pronounce brazen means insolent ten time keeping the image of a girl in a bra who is bold and insolent.,,Brazen; its from old english word braesen means made of brass(strong enough metal)so the person who is brazen is bold or strong enough & don't really care what others will think about it..,Brazen = Be Ragened (rage = anger). When do u get angered? When sm1 behaves INSOLENTLY (Disrespectfully) with u.,,,,,,,,,,,,,,,,,,,,
43,calumny,"calumny; sounds like kalmuhi; which is a harsh remark given by a saas to her bahu.
So its a  kind of slander.",rhymes with ALUMNI--imagine urself slandering n defaming some of ur cllg ALUMNI,calu-muy: calu means legs in kannada and mny sounds like muri which means to break ...parents will tel i ll BERAK UR LEG(CALUMNY) which is a SLANDER,Calumny sounds like columns; imagine if some one write bad thind aboute you ll be defamed.,Cal (californians) talk shit about NY (new yorkers)...SLANDER!!!!,Calumni = Calikh malna on somebody's character,CALUMNY ...Call Um n e name...pronounced Kaa Luhm nee,,Calumny printed in newspaper column,cALUMNY : criticise alumni. critise/bad remarks,calumny-sounds like alumnia who is the goal keeper of arsenal..he abuses the opposition team mates..,"This is along similar lines as to one above...

""I considered it a CALUMNY when someone said I was an ALUM of CAL State.""",A calumny can upset a calm discourse.,,CALLUMNY= call+u+money;one can make wrong remarks on u for getting money;so its slandering.,Remember; how they used to tie people who were accusing in something bad to the COLUMN of shame?,Calumny - Think of a Column written about you that you are CALculating to steal MoNeY. Clearly a malicious lie.,friend calls u to ask (mny) sounds like money,,,,,,,,
44,candid,candiadates in a interview are recommended to be straight forward;outspoken and honest in an interview for best result.....,"1.candid -> can+did -> can+do=straightforward
2.candid ~ candy -> children like candy -> children is honest",,,,,,,,,,,,,,,,,,,,,,,,
45,castigate,cast+i+hate - if you hate caste; you criticize it..,castigate ~ castle age: punish without mercy,"To build ""castle"" around => block/censure everything",castigate= rusticate = punishment,CASTticism ke karan logon ko GATE par nahi karne diya jata tha.,They CAST a GATE(jail) around you when you do a crime,CASTigate....I hate politicians who divide people on the basis of cast(castigate)...if I find any person doing such things; I will REPRIMAND;SCOLD him severely.....i.e I will CASTIGATE him,CASTE + GATE(a barrier) >>> due to casticism barrier; many lower caste people became slave and were punished very badly..,low caste ka hone ke kaaran usey gate ke bahar nikal diya aur bahut daanta and punish kiya.,"MODIRE DANESHGAHI DAR IRAN BEKHATEREH TANBIH KARDAN DANESHJOYANE BI HEJAB gate DANESHGAH RA BE HERASAT cast 
KARD = castigate",CASTE+ GATE: Other CASTE fellow stands infront of ur GATE; U Scold him harshly and gives Punishment.,castigate??if u love a girl/boy of a caste other dan ur caste n jump the gate(elope)...wat ur parents wud do ..definitely will punish u severely,casti+gate= a gate made of cast iron (it doesn't have satisfing quality; so it will be censured severely!),,,,,,,,,,,,,
46,caustic,"caustic soda is very common and its ""harmful "" for health if taken in large quantity....therefore caustic means harmful or burning. 
Since its a soda its somehow related with chemistry as well..",sounds like 'caution'... meaning; be careful; there is something..... that is corrosive... or... 'can cause corrosion'.,In medical terms 'cauterize' is burning or sealing the ends of blood vessels/nerves similar to destroying; As far as speech; talking about the holoCAUST can be harsh,caustic=it CAUSes your TIssues destroy!,The stinging sunburn I got CAUSed an involuntary TICk in my arm.,,,,,,,,,,,,,,,,,,,,,
